,,NYAA,DYAA,DYCP,MDO
LEA3152_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3153_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3154_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3155_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3156_ph2b,4,197.8019413,175.001339,197.8019413,175.001339
LEA3157_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3158_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3159_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3160_ph2b,4,151.8028808,129.0216072,151.8028808,129.0216072
LEA3161_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3162_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3163_ph2b,4,197.8019413,175.001339,197.8019413,175.001339
LEA3164_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3165_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3166_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3167_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3168_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3169_ph2b,4,150.0881913,127.287589,150.0881913,127.287589
LEA3170_ph2b,4,126.8746378,104.1128979,126.8746378,104.1128979
LEA3171_ph2b,4,257.22255,234.3883577,257.22255,234.3883577
LEA3172_ph2b,4,251.6671683,228.8476043,251.6671683,228.8476043
LEA3173_ph2b,4,245.6602029,222.8596006,245.6602029,222.8596006
LEA3174_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3175_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3176_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3177_ph2b,4,209.6829416,186.8487494,209.6829416,186.8487494
LEA3178_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3179_ph2b,4,195.9520577,173.1514554,195.9520577,173.1514554
LEA3180_ph2b,4,175.4216838,152.6404102,175.4216838,152.6404102
LEA3181_ph2b,4,234.05155,211.2173577,234.05155,211.2173577
LEA3182_ph2b,4,228.191335,205.3717709,228.191335,205.3717709
LEA3183_ph2b,4,221.6588163,198.858214,221.6588163,198.858214
LEA3184_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3185_ph2b,4,202.3986143,179.5790502,202.3986143,179.5790502
LEA3186_ph2b,4,195.2706144,172.4700121,195.2706144,172.4700121
LEA3187_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3188_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3189_ph2b,4,170.9159872,148.1153849,170.9159872,148.1153849
LEA3190_ph2b,4,150.7153341,127.9340605,150.7153341,127.9340605
LEA3191_ph2b,4,210.88055,188.0463577,210.88055,188.0463577
LEA3192_ph2b,4,204.7155017,181.8959376,204.7155017,181.8959376
LEA3193_ph2b,4,194.8342946,172.0336923,194.8342946,172.0336923
LEA3194_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3195_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3196_ph2b,4,170.4068309,147.6062286,170.4068309,147.6062286
LEA3197_ph2b,4,159.7114666,136.8772744,159.7114666,136.8772744
LEA3198_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3199_ph2b,4,146.9300028,124.1294005,146.9300028,124.1294005
LEA3200_ph2b,4,128.4133131,105.6320395,128.4133131,105.6320395
LEA3201_ph2b,4,187.70955,164.8753577,187.70955,164.8753577
LEA3202_ph2b,4,181.2396683,158.4201043,181.2396683,158.4201043
LEA3203_ph2b,4,173.9450663,151.144464,173.9450663,151.144464
LEA3204_ph2b,4,164.53855,141.7043577,164.53855,141.7043577
LEA3205_ph2b,4,157.763835,134.9442709,157.763835,134.9442709
LEA3206_ph2b,4,150.0881913,127.287589,150.0881913,127.287589
LEA3207_ph2b,4,141.36755,118.5333577,141.36755,118.5333577
LEA3208_ph2b,4,134.2880017,111.4684376,134.2880017,111.4684376
LEA3209_ph2b,4,126.2313163,103.430714,126.2313163,103.430714
LEA3210_ph2b,4,102.0306456,79.22246254,102.0306456,79.22246254
LEA3211_ph2b,4,308.6331471,308.6331471,308.6331471,308.6331471
LEA3212_ph2b,4,300.9667934,300.9667934,300.9667934,300.3647471
LEA3213_ph2b,4,291.66791,291.66791,291.66791,291.0963471
LEA3214_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3215_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3216_ph2b,4,269.6189358,269.6189358,269.6189358,269.3108935
LEA3217_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3218_ph2b,4,253.1869531,253.1869531,253.1869531,252.877853
LEA3219_ph2b,4,244.1776747,244.1776747,244.1776747,243.8675428
LEA3220_ph2b,4,222.3644145,222.3644145,222.3644145,222.0527923
LEA3221_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3222_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3223_ph2b,4,269.1409402,269.1409402,269.1409402,268.83319
LEA3224_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3225_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3226_ph2b,4,243.6488876,243.6488876,243.6488876,243.3393603
LEA3227_ph2b,4,235.2518935,235.2518935,235.2518935,235.2518935
LEA3228_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3229_ph2b,4,219.8538549,219.8538549,219.8538549,219.5430184
LEA3230_ph2b,4,197.6282281,197.6282281,197.6282281,197.3168296
LEA3231_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3232_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3233_ph2b,4,245.8328873,245.8328873,245.8328873,245.5238521
LEA3234_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3235_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3236_ph2b,4,221.4101971,221.4101971,221.4101971,221.0999969
LEA3237_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3238_ph2b,4,205.290194,205.290194,205.290194,204.9798525
LEA3239_ph2b,4,197.1198621,197.1198621,197.1198621,196.809237
LEA3240_ph2b,4,103.3270475,103.3270475,103.3270475,100.65975
LEA3241_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3242_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3243_ph2b,4,221.926285,221.926285,221.926285,221.5833471
LEA3244_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3245_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3246_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3247_ph2b,4,118.19655,118.19655,118.19655,118.19655
LEA3248_ph2b,4,110.8121683,110.8121683,110.8121683,109.92815
LEA3249_ph2b,4,102.3744413,102.3744413,102.3744413,100.65975
LEA3250_ph2b,4,79.00438213,79.00438213,79.00438213,79.00438213
LEA3251_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3252_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3253_ph2b,4,268.4207017,268.4207017,268.4207017,267.9253471
LEA3254_ph2b,4,262.906561,262.906561,262.906561,262.906561
LEA3255_ph2b,4,255.3381257,255.3381257,255.3381257,255.029815
LEA3256_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3257_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3258_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3259_ph2b,4,221.9391371,221.9391371,221.9391371,221.6288649
LEA3260_ph2b,4,199.3473533,199.3473533,199.3473533,199.036051
LEA3261_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3262_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3263_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3264_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3265_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3266_ph2b,4,223.6643188,223.6643188,223.6643188,223.3541669
LEA3267_ph2b,4,214.3719594,214.3719594,214.3719594,214.3719594
LEA3268_ph2b,4,207.3268727,207.3268727,207.3268727,207.0163023
LEA3269_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3270_ph2b,4,103.3270475,103.3270475,103.3270475,100.65975
LEA3271_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3272_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3273_ph2b,4,226.6786189,226.6786189,226.6786189,226.3684718
LEA3274_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3275_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3276_ph2b,4,205.8535074,205.8535074,205.8535074,205.8535074
LEA3277_ph2b,4,118.19655,118.19655,118.19655,118.19655
LEA3278_ph2b,4,110.8121683,110.8121683,110.8121683,109.92815
LEA3279_ph2b,4,102.3744413,102.3744413,102.3744413,100.65975
LEA3280_ph2b,4,79.08913083,79.08913083,79.08913083,77.48875
LEA3281_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3282_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3283_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3284_ph2b,4,118.19655,118.19655,118.19655,118.19655
LEA3285_ph2b,4,110.8121683,110.8121683,110.8121683,109.92815
LEA3286_ph2b,4,102.3744413,102.3744413,102.3744413,100.65975
LEA3287_ph2b,4,95.02555,95.02555,95.02555,95.02555
LEA3288_ph2b,4,87.336335,87.336335,87.336335,86.75715
LEA3289_ph2b,4,78.51756625,78.51756625,78.51756625,77.48875
LEA3290_ph2b,4,55.69693241,55.69693241,55.69693241,55.69693241
LEA3291_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3292_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3293_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3294_ph2b,4,239.1211242,239.1211242,239.1211242,239.1211242
LEA3295_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3296_ph2b,4,221.926285,221.926285,221.926285,221.5833471
LEA3297_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3298_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3299_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3300_ph2b,4,103.3270475,103.3270475,103.3270475,100.65975
LEA3301_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3302_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3303_ph2b,4,221.926285,221.926285,221.926285,221.5833471
LEA3304_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3305_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3306_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3307_ph2b,4,118.19655,118.19655,118.19655,118.19655
LEA3308_ph2b,4,110.8121683,110.8121683,110.8121683,109.92815
LEA3309_ph2b,4,102.3744413,102.3744413,102.3744413,100.65975
LEA3310_ph2b,4,79.08913083,79.08913083,79.08913083,77.48875
LEA3311_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3312_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3313_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3314_ph2b,4,118.19655,118.19655,118.19655,118.19655
LEA3315_ph2b,4,110.8121683,110.8121683,110.8121683,109.92815
LEA3316_ph2b,4,102.3744413,102.3744413,102.3744413,100.65975
LEA3317_ph2b,4,100.1551583,100.1551583,100.1551583,100.1551583
LEA3318_ph2b,4,87.336335,87.336335,87.336335,86.75715
LEA3319_ph2b,4,78.51756625,78.51756625,78.51756625,77.48875
LEA3320_ph2b,4,54.85121417,54.85121417,54.85121417,54.31775
LEA3321_ph2b,4,118.19655,118.19655,118.19655,118.19655
LEA3322_ph2b,4,110.8121683,110.8121683,110.8121683,109.92815
LEA3323_ph2b,4,102.3744413,102.3744413,102.3744413,100.65975
LEA3324_ph2b,4,95.02555,95.02555,95.02555,95.02555
LEA3325_ph2b,4,87.336335,87.336335,87.336335,86.75715
LEA3326_ph2b,4,78.51756625,78.51756625,78.51756625,77.48875
LEA3327_ph2b,4,71.85455,71.85455,71.85455,71.85455
LEA3328_ph2b,4,63.86050167,63.86050167,63.86050167,63.58615
LEA3329_ph2b,4,54.66069125,54.66069125,54.66069125,54.31775
LEA3330_ph2b,4,32.00790748,32.00790748,32.00790748,32.00790748
LEA3331_ph2b,4,359.2261332,359.2261332,359.2261332,359.2261332
LEA3332_ph2b,4,347.46121,347.46121,347.46121,346.7067471
LEA3333_ph2b,4,338.1623267,338.1623267,338.1623267,337.4383471
LEA3334_ph2b,4,331.8041471,331.8041471,331.8041471,331.8041471
LEA3335_ph2b,4,324.2140017,324.2140017,324.2140017,323.5357471
LEA3336_ph2b,4,314.9151184,314.9151184,314.9151184,314.2673471
LEA3337_ph2b,4,308.6331471,308.6331471,308.6331471,308.6331471
LEA3338_ph2b,4,300.9667934,300.9667934,300.9667934,300.3647471
LEA3339_ph2b,4,291.66791,291.66791,291.66791,291.0963471
LEA3340_ph2b,4,270.5706843,270.5706843,270.5706843,270.2608498
LEA3341_ph2b,4,331.8041471,331.8041471,331.8041471,331.8041471
LEA3342_ph2b,4,324.2140017,324.2140017,324.2140017,323.5357471
LEA3343_ph2b,4,314.9151184,314.9151184,314.9151184,314.2673471
LEA3344_ph2b,4,308.6331471,308.6331471,308.6331471,308.6331471
LEA3345_ph2b,4,300.9667934,300.9667934,300.9667934,300.3647471
LEA3346_ph2b,4,291.66791,291.66791,291.66791,291.0963471
LEA3347_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3348_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3349_ph2b,4,268.4207017,268.4207017,268.4207017,267.9253471
LEA3350_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3351_ph2b,4,308.6331471,308.6331471,308.6331471,308.6331471
LEA3352_ph2b,4,300.9667934,300.9667934,300.9667934,300.3647471
LEA3353_ph2b,4,291.66791,291.66791,291.66791,291.0963471
LEA3354_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3355_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3356_ph2b,4,268.4207017,268.4207017,268.4207017,267.9253471
LEA3357_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3358_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3359_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3360_ph2b,4,221.926285,221.926285,221.926285,221.5833471
LEA3361_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3362_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3363_ph2b,4,268.4207017,268.4207017,268.4207017,267.9253471
LEA3364_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3365_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3366_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3367_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3368_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3369_ph2b,4,221.926285,221.926285,221.926285,221.5833471
LEA3370_ph2b,4,197.1048415,197.1048415,197.1048415,196.7954095
LEA3371_ph2b,4,331.8041471,331.8041471,331.8041471,331.8041471
LEA3372_ph2b,4,324.2140017,324.2140017,324.2140017,323.5357471
LEA3373_ph2b,4,317.8412522,317.8412522,317.8412522,317.5350782
LEA3374_ph2b,4,308.6331471,308.6331471,308.6331471,308.6331471
LEA3375_ph2b,4,300.9667934,300.9667934,300.9667934,300.3647471
LEA3376_ph2b,4,291.66791,291.66791,291.66791,291.0963471
LEA3377_ph2b,4,284.2645388,284.2645388,284.2645388,284.2645388
LEA3378_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3379_ph2b,4,268.1064384,268.1064384,268.1064384,267.7971561
LEA3380_ph2b,4,245.6889505,245.6889505,245.6889505,245.3781344
LEA3381_ph2b,4,308.6331471,308.6331471,308.6331471,308.6331471
LEA3382_ph2b,4,300.9667934,300.9667934,300.9667934,300.3647471
LEA3383_ph2b,4,291.66791,291.66791,291.66791,291.0963471
LEA3384_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3385_ph2b,4,276.0399014,276.0399014,276.0399014,275.7322625
LEA3386_ph2b,4,267.4329899,267.4329899,267.4329899,267.1246507
LEA3387_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3388_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3389_ph2b,4,243.0649231,243.0649231,243.0649231,242.7549721
LEA3390_ph2b,4,220.9728672,220.9728672,220.9728672,220.6613133
LEA3391_ph2b,4,285.4621471,285.4621471,285.4621471,285.4621471
LEA3392_ph2b,4,277.719585,277.719585,277.719585,277.1937471
LEA3393_ph2b,4,267.0017589,267.0017589,267.0017589,266.694013
LEA3394_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3395_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3396_ph2b,4,242.5631345,242.5631345,242.5631345,242.2540509
LEA3397_ph2b,4,234.2930637,234.2930637,234.2930637,234.2930637
LEA3398_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3399_ph2b,4,219.0737418,219.0737418,219.0737418,218.7631413
LEA3400_ph2b,4,198.6649653,198.6649653,198.6649653,198.3528867
LEA3401_ph2b,4,262.2911471,262.2911471,262.2911471,262.2911471
LEA3402_ph2b,4,254.4723767,254.4723767,254.4723767,254.0227471
LEA3403_ph2b,4,245.1734934,245.1734934,245.1734934,244.7543471
LEA3404_ph2b,4,239.1201471,239.1201471,239.1201471,239.1201471
LEA3405_ph2b,4,231.2251684,231.2251684,231.2251684,230.8517471
LEA3406_ph2b,4,221.926285,221.926285,221.926285,221.5833471
LEA3407_ph2b,4,215.9491471,215.9491471,215.9491471,215.9491471
LEA3408_ph2b,4,207.97796,207.97796,207.97796,207.6807471
LEA3409_ph2b,4,198.6790767,198.6790767,198.6790767,198.4123471
LEA3410_ph2b,4,102.0306456,102.0306456,102.0306456,100.1388875
LEA3411_ph2b,4,3.66006019,4.203846299,6.813224804,4.203846299
LEA3412_ph2b,4,4.06061814,4.60440425,7.196846719,4.60440425
LEA3413_ph2b,4,1.114132766,1.298286778,2.129091418,1.298286778
LEA3414_ph2b,4,1.302360374,1.486514385,2.308474684,1.486514385
LEA3415_ph2b,4,11.25508897,12.62680138,17.11183386,12.62680138
LEA3416_ph2b,4,11.19225516,12.56396757,17.07443553,12.56396757
LEA3417_ph2b,4,14.16651004,15.19077984,21.23848906,15.19077984
LEA3418_ph2b,4,14.67622039,15.70049019,21.76540698,15.70049019
LEA3419_ph2b,4,24.31234919,27.30934154,37.35498547,27.30934154
LEA3420_ph2b,4,24.69712519,27.69411754,37.71187465,27.69411754
LEA3421_ph2b,4,24.80934077,27.80633312,37.88032591,27.80633312
LEA3422_ph2b,4,24.7546236,27.75161594,37.79478332,27.75161594
