Source_C148,31-10-1921 00:00,1,0
Source_C148,30-11-1921 00:00,1,0
Source_C148,31-12-1921 00:00,1,0
Source_C148,31-01-1922 00:00,1,0
Source_C148,28-02-1922 00:00,1,0
Source_C148,31-03-1922 00:00,1,0
Source_C148,30-04-1922 00:00,1,0
Source_C148,31-05-1922 00:00,1,0
Source_C148,30-06-1922 00:00,1,0
Source_C148,31-07-1922 00:00,1,0
Source_C148,31-08-1922 00:00,1,0
Source_C148,30-09-1922 00:00,1,0
Source_C148,31-10-1922 00:00,1,0
Source_C148,30-11-1922 00:00,1,0
Source_C148,31-12-1922 00:00,1,0
Source_C148,31-01-1923 00:00,1,0
Source_C148,28-02-1923 00:00,1,0
Source_C148,31-03-1923 00:00,1,0
Source_C148,30-04-1923 00:00,1,0
Source_C148,31-05-1923 00:00,1,0
Source_C148,30-06-1923 00:00,1,0
Source_C148,31-07-1923 00:00,1,0
Source_C148,31-08-1923 00:00,1,0
Source_C148,30-09-1923 00:00,1,0
Source_C148,31-10-1923 00:00,1,0
Source_C148,30-11-1923 00:00,1,0
Source_C148,31-12-1923 00:00,1,0
Source_C148,31-01-1924 00:00,1,0
Source_C148,29-02-1924 00:00,1,0
Source_C148,31-03-1924 00:00,1,0
Source_C148,30-04-1924 00:00,1,0
Source_C148,31-05-1924 00:00,1,0
Source_C148,30-06-1924 00:00,1,0
Source_C148,31-07-1924 00:00,1,0
Source_C148,31-08-1924 00:00,1,0
Source_C148,30-09-1924 00:00,1,0
Source_C148,31-10-1924 00:00,1,0
Source_C148,30-11-1924 00:00,1,0
Source_C148,31-12-1924 00:00,1,0
Source_C148,31-01-1925 00:00,1,0
Source_C148,28-02-1925 00:00,1,0
Source_C148,31-03-1925 00:00,1,0
Source_C148,30-04-1925 00:00,1,0
Source_C148,31-05-1925 00:00,1,0
Source_C148,30-06-1925 00:00,1,0
Source_C148,31-07-1925 00:00,1,0
Source_C148,31-08-1925 00:00,1,0
Source_C148,30-09-1925 00:00,1,0
Source_C148,31-10-1925 00:00,1,0
Source_C148,30-11-1925 00:00,1,0
Source_C148,31-12-1925 00:00,1,0
Source_C148,31-01-1926 00:00,1,0
Source_C148,28-02-1926 00:00,1,0
Source_C148,31-03-1926 00:00,1,0
Source_C148,30-04-1926 00:00,1,0
Source_C148,31-05-1926 00:00,1,0
Source_C148,30-06-1926 00:00,1,0
Source_C148,31-07-1926 00:00,1,0
Source_C148,31-08-1926 00:00,1,0
Source_C148,30-09-1926 00:00,1,0
Source_C148,31-10-1926 00:00,1,0
Source_C148,30-11-1926 00:00,1,0
Source_C148,31-12-1926 00:00,1,0
Source_C148,31-01-1927 00:00,1,0
Source_C148,28-02-1927 00:00,1,0
Source_C148,31-03-1927 00:00,1,0
Source_C148,30-04-1927 00:00,1,0
Source_C148,31-05-1927 00:00,1,0
Source_C148,30-06-1927 00:00,1,0
Source_C148,31-07-1927 00:00,1,0
Source_C148,31-08-1927 00:00,1,0
Source_C148,30-09-1927 00:00,1,0
Source_C148,31-10-1927 00:00,1,0
Source_C148,30-11-1927 00:00,1,0
Source_C148,31-12-1927 00:00,1,0
Source_C148,31-01-1928 00:00,1,0
Source_C148,29-02-1928 00:00,1,0
Source_C148,31-03-1928 00:00,1,0
Source_C148,30-04-1928 00:00,1,0
Source_C148,31-05-1928 00:00,1,0
Source_C148,30-06-1928 00:00,1,0
Source_C148,31-07-1928 00:00,1,0
Source_C148,31-08-1928 00:00,1,0
Source_C148,30-09-1928 00:00,1,0
Source_C148,31-10-1928 00:00,1,0
Source_C148,30-11-1928 00:00,1,0
Source_C148,31-12-1928 00:00,1,0
Source_C148,31-01-1929 00:00,1,0
Source_C148,28-02-1929 00:00,1,0
Source_C148,31-03-1929 00:00,1,0
Source_C148,30-04-1929 00:00,1,0
Source_C148,31-05-1929 00:00,1,0
Source_C148,30-06-1929 00:00,1,0
Source_C148,31-07-1929 00:00,1,0
Source_C148,31-08-1929 00:00,1,0
Source_C148,30-09-1929 00:00,1,0
Source_C148,31-10-1929 00:00,1,0
Source_C148,30-11-1929 00:00,1,0
Source_C148,31-12-1929 00:00,1,0
Source_C148,31-01-1930 00:00,1,0
Source_C148,28-02-1930 00:00,1,0
Source_C148,31-03-1930 00:00,1,0
Source_C148,30-04-1930 00:00,1,0
Source_C148,31-05-1930 00:00,1,0
Source_C148,30-06-1930 00:00,1,0
Source_C148,31-07-1930 00:00,1,0
Source_C148,31-08-1930 00:00,1,0
Source_C148,30-09-1930 00:00,1,0
Source_C148,31-10-1930 00:00,1,0
Source_C148,30-11-1930 00:00,1,0
Source_C148,31-12-1930 00:00,1,0
Source_C148,31-01-1931 00:00,1,0
Source_C148,28-02-1931 00:00,1,0
Source_C148,31-03-1931 00:00,1,0
Source_C148,30-04-1931 00:00,1,0
Source_C148,31-05-1931 00:00,1,0
Source_C148,30-06-1931 00:00,1,0
Source_C148,31-07-1931 00:00,1,0
Source_C148,31-08-1931 00:00,1,0
Source_C148,30-09-1931 00:00,1,0
Source_C148,31-10-1931 00:00,1,0
Source_C148,30-11-1931 00:00,1,0
Source_C148,31-12-1931 00:00,1,0
Source_C148,31-01-1932 00:00,1,0
Source_C148,29-02-1932 00:00,1,0
Source_C148,31-03-1932 00:00,1,0
Source_C148,30-04-1932 00:00,1,0
Source_C148,31-05-1932 00:00,1,0
Source_C148,30-06-1932 00:00,1,0
Source_C148,31-07-1932 00:00,1,0
Source_C148,31-08-1932 00:00,1,0
Source_C148,30-09-1932 00:00,1,0
Source_C148,31-10-1932 00:00,1,0
Source_C148,30-11-1932 00:00,1,0
Source_C148,31-12-1932 00:00,1,0
Source_C148,31-01-1933 00:00,1,0
Source_C148,28-02-1933 00:00,1,0
Source_C148,31-03-1933 00:00,1,0
Source_C148,30-04-1933 00:00,1,0
Source_C148,31-05-1933 00:00,1,0
Source_C148,30-06-1933 00:00,1,0
Source_C148,31-07-1933 00:00,1,0
Source_C148,31-08-1933 00:00,1,0
Source_C148,30-09-1933 00:00,1,0
Source_C148,31-10-1933 00:00,1,0
Source_C148,30-11-1933 00:00,1,0
Source_C148,31-12-1933 00:00,1,0
Source_C148,31-01-1934 00:00,1,0
Source_C148,28-02-1934 00:00,1,0
Source_C148,31-03-1934 00:00,1,0
Source_C148,30-04-1934 00:00,1,0
Source_C148,31-05-1934 00:00,1,0
Source_C148,30-06-1934 00:00,1,0
Source_C148,31-07-1934 00:00,1,0
Source_C148,31-08-1934 00:00,1,0
Source_C148,30-09-1934 00:00,1,0
Source_C148,31-10-1934 00:00,1,0
Source_C148,30-11-1934 00:00,1,0
Source_C148,31-12-1934 00:00,1,0
Source_C148,31-01-1935 00:00,1,0
Source_C148,28-02-1935 00:00,1,0
Source_C148,31-03-1935 00:00,1,0
Source_C148,30-04-1935 00:00,1,0
Source_C148,31-05-1935 00:00,1,0
Source_C148,30-06-1935 00:00,1,0
Source_C148,31-07-1935 00:00,1,0
Source_C148,31-08-1935 00:00,1,0
Source_C148,30-09-1935 00:00,1,0
Source_C148,31-10-1935 00:00,1,0
Source_C148,30-11-1935 00:00,1,0
Source_C148,31-12-1935 00:00,1,0
Source_C148,31-01-1936 00:00,1,0
Source_C148,29-02-1936 00:00,1,0
Source_C148,31-03-1936 00:00,1,0
Source_C148,30-04-1936 00:00,1,0
Source_C148,31-05-1936 00:00,1,0
Source_C148,30-06-1936 00:00,1,0
Source_C148,31-07-1936 00:00,1,0
Source_C148,31-08-1936 00:00,1,0
Source_C148,30-09-1936 00:00,1,0
Source_C148,31-10-1936 00:00,1,0
Source_C148,30-11-1936 00:00,1,0
Source_C148,31-12-1936 00:00,1,0
Source_C148,31-01-1937 00:00,1,0
Source_C148,28-02-1937 00:00,1,0
Source_C148,31-03-1937 00:00,1,0
Source_C148,30-04-1937 00:00,1,0
Source_C148,31-05-1937 00:00,1,0
Source_C148,30-06-1937 00:00,1,0
Source_C148,31-07-1937 00:00,1,0
Source_C148,31-08-1937 00:00,1,0
Source_C148,30-09-1937 00:00,1,0
Source_C148,31-10-1937 00:00,1,0
Source_C148,30-11-1937 00:00,1,0
Source_C148,31-12-1937 00:00,1,0
Source_C148,31-01-1938 00:00,1,0
Source_C148,28-02-1938 00:00,1,0
Source_C148,31-03-1938 00:00,1,0
Source_C148,30-04-1938 00:00,1,0
Source_C148,31-05-1938 00:00,1,0
Source_C148,30-06-1938 00:00,1,0
Source_C148,31-07-1938 00:00,1,0
Source_C148,31-08-1938 00:00,1,0
Source_C148,30-09-1938 00:00,1,0
Source_C148,31-10-1938 00:00,1,0
Source_C148,30-11-1938 00:00,1,0
Source_C148,31-12-1938 00:00,1,0
Source_C148,31-01-1939 00:00,1,0
Source_C148,28-02-1939 00:00,1,0
Source_C148,31-03-1939 00:00,1,0
Source_C148,30-04-1939 00:00,1,0
Source_C148,31-05-1939 00:00,1,0
Source_C148,30-06-1939 00:00,1,0
Source_C148,31-07-1939 00:00,1,0
Source_C148,31-08-1939 00:00,1,0
Source_C148,30-09-1939 00:00,1,0
Source_C148,31-10-1939 00:00,1,0
Source_C148,30-11-1939 00:00,1,0
Source_C148,31-12-1939 00:00,1,0
Source_C148,31-01-1940 00:00,1,0
Source_C148,29-02-1940 00:00,1,0
Source_C148,31-03-1940 00:00,1,0
Source_C148,30-04-1940 00:00,1,0
Source_C148,31-05-1940 00:00,1,0
Source_C148,30-06-1940 00:00,1,0
Source_C148,31-07-1940 00:00,1,0
Source_C148,31-08-1940 00:00,1,0
Source_C148,30-09-1940 00:00,1,0
Source_C148,31-10-1940 00:00,1,0
Source_C148,30-11-1940 00:00,1,0
Source_C148,31-12-1940 00:00,1,0
Source_C148,31-01-1941 00:00,1,0
Source_C148,28-02-1941 00:00,1,0
Source_C148,31-03-1941 00:00,1,0
Source_C148,30-04-1941 00:00,1,0
Source_C148,31-05-1941 00:00,1,0
Source_C148,30-06-1941 00:00,1,0
Source_C148,31-07-1941 00:00,1,0
Source_C148,31-08-1941 00:00,1,0
Source_C148,30-09-1941 00:00,1,0
Source_C148,31-10-1941 00:00,1,0
Source_C148,30-11-1941 00:00,1,0
Source_C148,31-12-1941 00:00,1,0
Source_C148,31-01-1942 00:00,1,0
Source_C148,28-02-1942 00:00,1,0
Source_C148,31-03-1942 00:00,1,0
Source_C148,30-04-1942 00:00,1,0
Source_C148,31-05-1942 00:00,1,0
Source_C148,30-06-1942 00:00,1,0
Source_C148,31-07-1942 00:00,1,0
Source_C148,31-08-1942 00:00,1,0
Source_C148,30-09-1942 00:00,1,0
Source_C148,31-10-1942 00:00,1,0
Source_C148,30-11-1942 00:00,1,0
Source_C148,31-12-1942 00:00,1,0
Source_C148,31-01-1943 00:00,1,0
Source_C148,28-02-1943 00:00,1,0
Source_C148,31-03-1943 00:00,1,0
Source_C148,30-04-1943 00:00,1,0
Source_C148,31-05-1943 00:00,1,0
Source_C148,30-06-1943 00:00,1,0
Source_C148,31-07-1943 00:00,1,0
Source_C148,31-08-1943 00:00,1,0
Source_C148,30-09-1943 00:00,1,0
Source_C148,31-10-1943 00:00,1,0
Source_C148,30-11-1943 00:00,1,0
Source_C148,31-12-1943 00:00,1,0
Source_C148,31-01-1944 00:00,1,0
Source_C148,29-02-1944 00:00,1,0
Source_C148,31-03-1944 00:00,1,0
Source_C148,30-04-1944 00:00,1,0
Source_C148,31-05-1944 00:00,1,0
Source_C148,30-06-1944 00:00,1,0
Source_C148,31-07-1944 00:00,1,0
Source_C148,31-08-1944 00:00,1,0
Source_C148,30-09-1944 00:00,1,0
Source_C148,31-10-1944 00:00,1,0
Source_C148,30-11-1944 00:00,1,0
Source_C148,31-12-1944 00:00,1,0
Source_C148,31-01-1945 00:00,1,0
Source_C148,28-02-1945 00:00,1,0
Source_C148,31-03-1945 00:00,1,0
Source_C148,30-04-1945 00:00,1,0
Source_C148,31-05-1945 00:00,1,0
Source_C148,30-06-1945 00:00,1,0
Source_C148,31-07-1945 00:00,1,0
Source_C148,31-08-1945 00:00,1,0
Source_C148,30-09-1945 00:00,1,0
Source_C148,31-10-1945 00:00,1,0
Source_C148,30-11-1945 00:00,1,0
Source_C148,31-12-1945 00:00,1,0
Source_C148,31-01-1946 00:00,1,0
Source_C148,28-02-1946 00:00,1,0
Source_C148,31-03-1946 00:00,1,0
Source_C148,30-04-1946 00:00,1,0
Source_C148,31-05-1946 00:00,1,0
Source_C148,30-06-1946 00:00,1,0
Source_C148,31-07-1946 00:00,1,0
Source_C148,31-08-1946 00:00,1,0
Source_C148,30-09-1946 00:00,1,0
Source_C148,31-10-1946 00:00,1,0
Source_C148,30-11-1946 00:00,1,0
Source_C148,31-12-1946 00:00,1,0
Source_C148,31-01-1947 00:00,1,0
Source_C148,28-02-1947 00:00,1,0
Source_C148,31-03-1947 00:00,1,0
Source_C148,30-04-1947 00:00,1,0
Source_C148,31-05-1947 00:00,1,0
Source_C148,30-06-1947 00:00,1,0
Source_C148,31-07-1947 00:00,1,0
Source_C148,31-08-1947 00:00,1,0
Source_C148,30-09-1947 00:00,1,0
Source_C148,31-10-1947 00:00,1,0
Source_C148,30-11-1947 00:00,1,0
Source_C148,31-12-1947 00:00,1,0
Source_C148,31-01-1948 00:00,1,0
Source_C148,29-02-1948 00:00,1,0
Source_C148,31-03-1948 00:00,1,0
Source_C148,30-04-1948 00:00,1,0
Source_C148,31-05-1948 00:00,1,0
Source_C148,30-06-1948 00:00,1,0
Source_C148,31-07-1948 00:00,1,0
Source_C148,31-08-1948 00:00,1,0
Source_C148,30-09-1948 00:00,1,0
Source_C148,31-10-1948 00:00,1,0
Source_C148,30-11-1948 00:00,1,0
Source_C148,31-12-1948 00:00,1,0
Source_C148,31-01-1949 00:00,1,0
Source_C148,28-02-1949 00:00,1,0
Source_C148,31-03-1949 00:00,1,0
Source_C148,30-04-1949 00:00,1,0
Source_C148,31-05-1949 00:00,1,0
Source_C148,30-06-1949 00:00,1,0
Source_C148,31-07-1949 00:00,1,0
Source_C148,31-08-1949 00:00,1,0
Source_C148,30-09-1949 00:00,1,0
Source_C148,31-10-1949 00:00,1,0
Source_C148,30-11-1949 00:00,1,0
Source_C148,31-12-1949 00:00,1,0
Source_C148,31-01-1950 00:00,1,0
Source_C148,28-02-1950 00:00,1,0
Source_C148,31-03-1950 00:00,1,0
Source_C148,30-04-1950 00:00,1,0
Source_C148,31-05-1950 00:00,1,0
Source_C148,30-06-1950 00:00,1,0
Source_C148,31-07-1950 00:00,1,0
Source_C148,31-08-1950 00:00,1,0
Source_C148,30-09-1950 00:00,1,0
Source_C148,31-10-1950 00:00,1,0
Source_C148,30-11-1950 00:00,1,0
Source_C148,31-12-1950 00:00,1,0
Source_C148,31-01-1951 00:00,1,0
Source_C148,28-02-1951 00:00,1,0
Source_C148,31-03-1951 00:00,1,0
Source_C148,30-04-1951 00:00,1,0
Source_C148,31-05-1951 00:00,1,0
Source_C148,30-06-1951 00:00,1,0
Source_C148,31-07-1951 00:00,1,0
Source_C148,31-08-1951 00:00,1,0
Source_C148,30-09-1951 00:00,1,0
Source_C148,31-10-1951 00:00,1,0
Source_C148,30-11-1951 00:00,1,0
Source_C148,31-12-1951 00:00,1,0
Source_C148,31-01-1952 00:00,1,0
Source_C148,29-02-1952 00:00,1,0
Source_C148,31-03-1952 00:00,1,0
Source_C148,30-04-1952 00:00,1,0
Source_C148,31-05-1952 00:00,1,0
Source_C148,30-06-1952 00:00,1,0
Source_C148,31-07-1952 00:00,1,0
Source_C148,31-08-1952 00:00,1,0
Source_C148,30-09-1952 00:00,1,0
Source_C148,31-10-1952 00:00,1,0
Source_C148,30-11-1952 00:00,1,0
Source_C148,31-12-1952 00:00,1,0
Source_C148,31-01-1953 00:00,1,0
Source_C148,28-02-1953 00:00,1,0
Source_C148,31-03-1953 00:00,1,0
Source_C148,30-04-1953 00:00,1,0
Source_C148,31-05-1953 00:00,1,0
Source_C148,30-06-1953 00:00,1,0
Source_C148,31-07-1953 00:00,1,0
Source_C148,31-08-1953 00:00,1,0
Source_C148,30-09-1953 00:00,1,0
Source_C148,31-10-1953 00:00,1,0
Source_C148,30-11-1953 00:00,1,0
Source_C148,31-12-1953 00:00,1,0
Source_C148,31-01-1954 00:00,1,0
Source_C148,28-02-1954 00:00,1,0
Source_C148,31-03-1954 00:00,1,0
Source_C148,30-04-1954 00:00,1,0
Source_C148,31-05-1954 00:00,1,0
Source_C148,30-06-1954 00:00,1,0
Source_C148,31-07-1954 00:00,1,0
Source_C148,31-08-1954 00:00,1,0
Source_C148,30-09-1954 00:00,1,0
Source_C148,31-10-1954 00:00,1,0
Source_C148,30-11-1954 00:00,1,0
Source_C148,31-12-1954 00:00,1,0
Source_C148,31-01-1955 00:00,1,0
Source_C148,28-02-1955 00:00,1,0
Source_C148,31-03-1955 00:00,1,0
Source_C148,30-04-1955 00:00,1,0
Source_C148,31-05-1955 00:00,1,0
Source_C148,30-06-1955 00:00,1,0
Source_C148,31-07-1955 00:00,1,0
Source_C148,31-08-1955 00:00,1,0
Source_C148,30-09-1955 00:00,1,0
Source_C148,31-10-1955 00:00,1,0
Source_C148,30-11-1955 00:00,1,0
Source_C148,31-12-1955 00:00,1,0
Source_C148,31-01-1956 00:00,1,0
Source_C148,29-02-1956 00:00,1,0
Source_C148,31-03-1956 00:00,1,0
Source_C148,30-04-1956 00:00,1,0
Source_C148,31-05-1956 00:00,1,0
Source_C148,30-06-1956 00:00,1,0
Source_C148,31-07-1956 00:00,1,0
Source_C148,31-08-1956 00:00,1,0
Source_C148,30-09-1956 00:00,1,0
Source_C148,31-10-1956 00:00,1,0
Source_C148,30-11-1956 00:00,1,0
Source_C148,31-12-1956 00:00,1,0
Source_C148,31-01-1957 00:00,1,0
Source_C148,28-02-1957 00:00,1,0
Source_C148,31-03-1957 00:00,1,0
Source_C148,30-04-1957 00:00,1,0
Source_C148,31-05-1957 00:00,1,0
Source_C148,30-06-1957 00:00,1,0
Source_C148,31-07-1957 00:00,1,0
Source_C148,31-08-1957 00:00,1,0
Source_C148,30-09-1957 00:00,1,0
